Story ID,Epic,Title,User Story,Acceptance Criteria,Status,Priority,Story Points
US-001,EPIC-01: Static Marketing Website,Landing Page,"As a visitor, I want to see an attractive landing page, so that I understand what OPC Europe is and feel compelled to explore further.","Hero section with animated title, subtitle, and CTA buttons; How-it-works section with animated SVG connector lines; Featured tournaments section; Scroll-reveal animations on all content sections; Fully responsive at 1200px, 992px, and 640px breakpoints",Done,Critical,5
US-002,EPIC-01: Static Marketing Website,Tournament Listing Page,"As a visitor, I want to browse a list of tournaments, so that I can find events I might want to attend.","Tournament cards with name, date, location, entry fee, and image; Filter by country and series; Sort by date and price; Responsive grid layout",Done,High,3
US-003,EPIC-01: Static Marketing Website,Rankings Page,"As a visitor, I want to see player rankings, so that I can follow the competitive standings.","Leaderboard table with rank, name, nationality, and points; Responsive table layout; Hover states on rows",Done,High,3
US-004,EPIC-01: Static Marketing Website,Contact Page,"As a visitor, I want to find contact information, so that I can reach out to the organizers.","Contact form layout; Email and social links; Responsive design",Done,Medium,2
US-005,EPIC-01: Static Marketing Website,Privacy Policy Page,"As a visitor, I want to read the privacy policy, so that I understand how my data is handled.","Full privacy policy text content; Consistent header/footer; Readable typography",Done,Medium,1
US-006,EPIC-01: Static Marketing Website,Terms & Conditions Page,"As a visitor, I want to read the terms and conditions, so that I understand the rules before participating.","Full terms text content; Consistent header/footer; Readable typography",Done,Medium,1
US-007,EPIC-01: Static Marketing Website,Responsible Gaming Page,"As a visitor, I want to learn about responsible gaming practices, so that I can play safely.","Responsible gaming content and resources; Consistent header/footer; Readable typography",Done,Medium,1
US-008,EPIC-01: Static Marketing Website,Shared Design System (Static),"As a developer, I want a consistent design system across all static pages, so that the site looks polished and professional.","CSS custom properties for all colors, spacing, and typography; BEM-inspired class naming; Inter font (400-700 weights); Dark theme with #0c0e12 background and #1570ef accent; Reduced-motion media query for all animations",Done,High,5
US-009,EPIC-02: Static Site Deployment & Hosting,Static Site Hosting Setup,"As the product owner, I want the static site deployed to a reliable host, so that visitors can access it globally.","Site deployed and accessible at opc-europe.com; SSL certificate configured; All 8 pages loading correctly",Done,Critical,3
US-010,EPIC-02: Static Site Deployment & Hosting,CDN & Asset Optimization,"As a visitor, I want fast page loads, so that I have a smooth browsing experience.","Static assets served via CDN; Images optimized for web; Fast time-to-first-byte globally",Done,High,2
US-011,EPIC-02: Static Site Deployment & Hosting,DNS & Domain Configuration,"As the product owner, I want a custom domain configured, so that the site has a professional web address.","DNS records pointing to hosting provider; Domain opc-europe.com resolving correctly; WWW redirect configured",Done,High,2
US-012,EPIC-02: Static Site Deployment & Hosting,Static Site Monitoring,"As the product owner, I want basic uptime monitoring, so that I know if the site goes down.","Uptime monitoring configured; Alert notifications set up for downtime",Done,Medium,1
US-013,EPIC-03: Testing Infrastructure,Vitest Unit Test Setup,"As a developer, I want a unit testing framework, so that I can write fast isolated tests for components and utilities.","Vitest 4 configured with React Testing Library; jest-dom matchers available; Test scripts in package.json (test, test:watch); Path aliases working in test environment",Done,Critical,3
US-014,EPIC-03: Testing Infrastructure,MSW API Mocking,"As a developer, I want to mock Supabase API calls in tests, so that tests run without network dependencies.","MSW 2 server configured with Supabase handlers; Auth, tournament, registration, and profile endpoints mocked; Handlers reset between tests",Done,Critical,3
US-015,EPIC-03: Testing Infrastructure,Test Data Factories,"As a developer, I want reusable test data factories, so that I can quickly create test fixtures.","Factory functions for Profile, Tournament, and Registration; Sensible defaults with override capability; Used across all test files",Done,High,2
US-016,EPIC-03: Testing Infrastructure,pgTAP Database Tests,"As a developer, I want to test RLS policies and database functions directly, so that I can verify data security at the database layer.","pgTAP configured via supabase test db; Smoke test verifying setup; Test scripts in package.json",Done,High,2
US-017,EPIC-03: Testing Infrastructure,Playwright E2E Setup,"As a developer, I want end-to-end browser tests, so that I can verify complete user flows.","Playwright configured with test scripts; Base URL and browser settings configured; E2E test directory structure established",Done,High,2
US-018,EPIC-03: Testing Infrastructure,Test Render Helpers,"As a developer, I want shared render helpers, so that component tests have consistent provider wrappers.","renderWithProviders helper wrapping components with necessary context; Suspense boundary handling for useSearchParams; Cleanup between test renders",Done,Medium,1
US-019,EPIC-04: Authentication & User Management,Email/Password Signup,"As a new user, I want to create an account with my email and password, so that I can access the platform.","Signup form with email and password fields; Password validation; Success redirects to verify-email page; Error messages for duplicate email or weak password; Profile auto-created via database trigger",Done,Critical,3
US-020,EPIC-04: Authentication & User Management,Email/Password Login,"As a returning user, I want to log in with my email and password, so that I can access my account.","Login form with email and password fields; Success redirects to dashboard; Error message for invalid credentials; Session cookie set via @supabase/ssr",Done,Critical,3
US-021,EPIC-04: Authentication & User Management,Google OAuth Login,"As a user, I want to sign in with Google, so that I can use my existing Google account.","Google OAuth button on login and signup pages; OAuth callback handler at /auth/callback; Profile auto-created on first OAuth login; Session established after callback",Done,High,3
US-022,EPIC-04: Authentication & User Management,Facebook OAuth Login,"As a user, I want to sign in with Facebook, so that I can use my existing Facebook account.","Facebook OAuth button on login and signup pages; OAuth callback handler shared with Google; Profile auto-created on first login",Done,High,2
US-023,EPIC-04: Authentication & User Management,Email Verification,"As a new user, I want to verify my email address, so that my account is confirmed.","Verification email sent on signup; Verify-email page shown after signup; Confirmation link activates account",Done,High,2
US-024,EPIC-04: Authentication & User Management,Session Management,"As a logged-in user, I want my session to persist across page loads, so that I don't have to log in repeatedly.","Cookie-based sessions via @supabase/ssr; Session refreshed in middleware on every request; Expired sessions redirect to login",Done,Critical,3
US-025,EPIC-04: Authentication & User Management,Route Protection Middleware,"As the product owner, I want routes protected by role, so that users can only access authorized pages.","Public routes accessible without auth; Protected routes redirect to /login if unauthenticated; Organizer routes require organizer role; Admin routes require admin role; Auth pages redirect to dashboard if already logged in",Done,Critical,5
US-026,EPIC-04: Authentication & User Management,Supabase Client Setup,"As a developer, I want configured Supabase clients for all contexts, so that I can query the database from any layer.","Browser client for client components; Server client for server components with cookie access; Admin client with service role key (bypasses RLS); Middleware client for session refresh",Done,Critical,3
US-027,EPIC-04: Authentication & User Management,Database Profiles Table,"As the system, I want user profiles auto-created on signup, so that every user has a complete profile record.","Profiles table with all user fields; Auto-create trigger on auth.users insert; RLS: public read, self-update, admin role update; Updated_at trigger for change tracking",Done,Critical,3
US-028,EPIC-04: Authentication & User Management,Role-Based Navigation,"As a user, I want to see navigation relevant to my role, so that I can access the features available to me.","AppSidebar server component builds NavSection[] based on user role; Players see dashboard, tournaments, rankings; Organizers see additional organizer section; Admins see admin section; Sections have optional labels for grouping",Done,High,3
US-029,EPIC-05: Design System Bridge,CSS Token Extraction,"As a developer, I want shared design tokens between the static site and platform, so that both have a consistent look.","tokens.css extracted from site/styles.css; All color, spacing, typography, and shadow tokens as CSS custom properties; Imported via globals.css in the platform",Done,High,3
US-030,EPIC-05: Design System Bridge,Inter Font Configuration,"As a user, I want the platform to use the same font as the marketing site, so that the brand feels cohesive.","Inter font loaded via next/font/google (weights 400-700); CSS variable --font-inter applied to body; No layout shift from font loading",Done,High,2
US-031,EPIC-05: Design System Bridge,Dark Theme Base Styles,"As a user, I want the platform to match the dark premium theme of the marketing site, so that the experience feels unified.","Background #0c0e12 applied to body; Text colors using token variables; Card and surface colors matching site design; Scrollbar styled for dark theme",Done,High,2
US-032,EPIC-05: Design System Bridge,Global Stylesheet,"As a developer, I want a single entry-point stylesheet, so that all base styles and tokens are available throughout the platform.","globals.css imports tokens.css; Base element styles (body, headings, links, buttons); Utility classes for common patterns; Responsive helper classes",Done,Medium,2
US-033,EPIC-06: Tournament Browsing & Registration,Tournament Browse Page,"As a player, I want to browse all available tournaments, so that I can find events to participate in.","Server component fetching all tournaments from Supabase; Tournament cards in a responsive grid; Shows name, dates, location, entry fee, image, capacity; Registration badges for logged-in users showing their status",Done,Critical,5
US-034,EPIC-06: Tournament Browsing & Registration,Tournament Country Filter,"As a player, I want to filter tournaments by country, so that I can find events near me.","Dropdown populated with distinct countries from tournament data; URL-based filter parameter (shareable); Resets pagination when filter changes",Done,High,2
US-035,EPIC-06: Tournament Browsing & Registration,Tournament Series Filter,"As a player, I want to filter tournaments by series, so that I can follow a specific tournament series.","Dropdown populated with distinct series from tournament data; URL-based filter parameter; Works in combination with country filter",Done,Medium,2
US-036,EPIC-06: Tournament Browsing & Registration,Tournament Sorting,"As a player, I want to sort tournaments by date or price, so that I can find the most relevant events first.","Sort options: soonest first (default), latest first, cheapest first; URL-based sort parameter; Maintains active filters when sorting",Done,Medium,2
US-037,EPIC-06: Tournament Browsing & Registration,Tournament Pagination,"As a player, I want paginated tournament results, so that the page loads quickly even with many tournaments.","16 tournaments per page; URL-based page parameter (shareable); Previous/next navigation; Page count display; Maintains filters and sort when paging",Done,Medium,2
US-038,EPIC-06: Tournament Browsing & Registration,Tournament Detail Page,"As a player, I want to see full details about a tournament, so that I can decide whether to register.","Full tournament info: name, description, dates, venue, entry fee, capacity; Organizer contact email; Registration count vs. capacity; Requires-verification notice if applicable; Dynamic page title via generateMetadata",Done,Critical,3
US-039,EPIC-06: Tournament Browsing & Registration,Tournament Registration,"As a player, I want to register for a tournament, so that I can participate in the event.","Register button with 8 eligibility states (registered, not logged in, not onboarded, verification required, closed, deadline passed, full, eligible); Creates tournament_registration record with status registered; Requires onboarding_complete = true; Unique constraint prevents double registration",Done,Critical,5
US-040,EPIC-06: Tournament Browsing & Registration,Tournament Seed Data,"As a developer, I want realistic seed data, so that the platform has content for testing and demos.","16 seed tournaments across NL, DE, BE, GB; Varied dates, entry fees, and capacities; Mix of statuses (upcoming, in-progress, completed); Database migration for seed insertion",Done,Medium,2
US-041,EPIC-06: Tournament Browsing & Registration,Tournaments Database & RLS,"As the system, I want tournament data secured with row-level security, so that only authorized users can modify tournaments.","Tournaments table with all required columns; RLS: public read for all users; Organizer/admin can create; Organizer can update own tournaments; Admin can delete any tournament",Done,Critical,3
US-042,EPIC-07: Player Dashboard,Dashboard Stats Summary,"As a player, I want to see my registration stats at a glance, so that I know my tournament activity.","Total tournaments registered count; Upcoming tournaments count; Stats displayed prominently at top of dashboard",Done,High,2
US-043,EPIC-07: Player Dashboard,Upcoming Registrations Table,"As a player, I want to see my upcoming tournament registrations, so that I can track what I've signed up for.","Table of registrations where tournament start_date is in the future; Columns: tournament name, date, location, status; Sorted by soonest first; Cancel button for each registration",Done,High,3
US-044,EPIC-07: Player Dashboard,Past Registrations Table,"As a player, I want to see my past tournament registrations, so that I can review my history.","Table of registrations where tournament start_date has passed; Columns: tournament name, date, location, status, placement (if results entered); Sorted by most recent first",Done,Medium,2
US-045,EPIC-07: Player Dashboard,Cancel Registration,"As a player, I want to cancel my tournament registration, so that I can free up my spot if plans change.","Two-step confirmation to prevent accidents; Updates registration status to cancelled; Sets cancelled_at timestamp; Removes from upcoming registrations; Refreshes dashboard data",Done,High,3
US-046,EPIC-07: Player Dashboard,Registration Database & RLS,"As the system, I want registration data secured with row-level security, so that players only see their own registrations.","Tournament_registrations table with status tracking; RLS: player sees own registrations; Organizer sees registrations for their tournaments; Admin sees all; Unique constraint on (tournament_id, player_id)",Done,Critical,3
US-047,EPIC-08: Player Profile & Onboarding,Profile Edit Form,"As a player, I want to edit my profile information, so that other players can learn about me.","Editable fields: display_name, city, home_country, nationality, bio; Form validation; Success feedback on save; Server action for profile update",Done,High,3
US-048,EPIC-08: Player Profile & Onboarding,Avatar Upload,"As a player, I want to upload a profile photo, so that I'm recognizable on the platform.","Image upload to Supabase Storage avatars bucket; Image preview before save; Accepts common image formats; Stored at {user_id}/avatar.{ext}; Public read access; User-scoped write/delete RLS",Done,High,3
US-049,EPIC-08: Player Profile & Onboarding,Onboarding Completion Gate,"As the system, I want to track onboarding completion, so that only players with complete profiles can register for tournaments.","onboarding_complete flag set to true on first profile save; Registration button shows Complete Profile First if not onboarded; Links to /profile for completion",Done,High,2
US-050,EPIC-08: Player Profile & Onboarding,Profile Slug Generation,"As a player, I want a clean URL for my public profile, so that I can share it easily.","Auto-generated slug from display_name via generate_profile_slug() function; Unique with collision handling (-2, -3 suffixes); Updated when display_name changes; Used in /players/[slug] routes",Done,Medium,2
US-051,EPIC-08: Player Profile & Onboarding,Social Links,"As a player, I want to add social media links to my profile, so that others can connect with me.","Social links JSON field on profile; Editable in profile form; Displayed on public player profile",Done,Low,1
US-052,EPIC-08: Player Profile & Onboarding,Avatar Storage Bucket,"As the system, I want a secure storage bucket for avatars, so that images are stored safely with proper access control.","Supabase Storage avatars bucket created; Public read policy for all avatars; Write/delete restricted to file owner via RLS; Path structure: {user_id}/avatar.{ext}",Done,High,2
US-053,EPIC-09: Organizer Tournament Management,Organizer Dashboard,"As an organizer, I want a dashboard showing my tournaments, so that I can manage my events from one place.","List of organizer's tournaments grouped by status (upcoming, in-progress, completed); Quick stats: total registrations, tournaments managed; Create new tournament button; Only shows tournaments where organizer_id matches current user",Done,High,3
US-054,EPIC-09: Organizer Tournament Management,Create Tournament,"As an organizer, I want to create a new tournament, so that players can discover and register for my event.","Tournament form with all required fields (name, dates, venue, capacity, entry fee, description); Optional fields: series, image_url, points_multiplier, requires_verification; Validation for required fields and date logic; Server action creates record with organizer_id set to current user",Done,Critical,5
US-055,EPIC-09: Organizer Tournament Management,Edit Tournament,"As an organizer, I want to edit my tournament details, so that I can update information as plans change.","Pre-populated form with existing tournament data; Toggle registration_open on/off; Toggle requires_verification; Set/update registration_deadline; Only tournament owner or admin can edit; Server action updates record",Done,High,3
US-056,EPIC-09: Organizer Tournament Management,View Registrations,"As an organizer, I want to see who has registered for my tournament, so that I can manage participants.","Table of all registered players; Columns: name, nationality, registration date, status; Registration count vs. capacity display; Sortable columns",Done,High,3
US-057,EPIC-09: Organizer Tournament Management,Update Registration Status,"As an organizer, I want to update a player's registration status, so that I can confirm attendance or mark no-shows.","Status dropdown per registration row (registered, confirmed, cancelled, no_show); Immediate save on status change; Server action for status update; Only tournament organizer or admin can update",Done,High,3
US-058,EPIC-09: Organizer Tournament Management,Export Registrations CSV,"As an organizer, I want to export registrations as CSV, so that I can use the data in external tools.","Export button generates CSV file; Includes all registration columns; Downloads immediately in browser; Formatted for spreadsheet compatibility",Done,Medium,2
US-059,EPIC-09: Organizer Tournament Management,Tournament Form Component,"As a developer, I want a reusable tournament form, so that create and edit share the same validated UI.","TournamentForm component used by both create and edit pages; Field validation; Date picker inputs; Conditional fields based on tournament state",Done,Medium,3
US-060,EPIC-09: Organizer Tournament Management,Organizer Route Protection,"As the system, I want organizer routes protected, so that only users with the organizer role can access management tools.","All /organizer/* routes require organizer role; Middleware redirects unauthorized users; RLS policies enforce organizer ownership on data mutations",Done,Critical,2
US-061,EPIC-10: Results Entry & Points System,Results Entry Page,"As an organizer, I want to enter tournament results, so that player stats and rankings are updated.","Select players from confirmed registrations; Enter placement for each player (1st, 2nd, 3rd, etc.); Points auto-calculated and displayed; Bulk entry mode for efficiency; Save button persists all results",Done,Critical,5
US-062,EPIC-10: Results Entry & Points System,Points Calculation Engine,"As the system, I want points calculated automatically from placements, so that rankings stay accurate.","calculate_points() Postgres function using configurable brackets; Base points multiplied by tournament.points_multiplier; Default brackets: 1st=1000, 2nd=750, 3rd=500, 4th=400, 5th=350, 6-10=300, 11-20=200, 21-50=100, 51+=50; Client-side points.ts for preview calculation",Done,Critical,5
US-063,EPIC-10: Results Entry & Points System,Auto-Compute Player Stats,"As the system, I want player stats recomputed automatically after results are entered, so that rankings are always current.","Postgres trigger on tournament_results insert/update; compute_player_stats() recalculates: total_points, tournament_count, win_count, top3_count, avg_finish, best_finish; Updates current_rank based on total_points DESC; Stores previous_rank for change tracking",Done,Critical,5
US-064,EPIC-10: Results Entry & Points System,Achievement System,"As a player, I want to earn achievements for milestones, so that I feel rewarded for my accomplishments.","8 achievement definitions seeded in achievements table; check_achievements() function auto-awards: First Blood (1 tournament), Regular (5), Veteran (20), Champion (1 win), Triple Crown (3 wins), Podium Master (10 top-3), Point Machine (10k points), Globetrotter (3+ countries); Triggered automatically after stats recomputation; player_achievements junction table with unique constraint",Done,High,5
US-065,EPIC-10: Results Entry & Points System,Results Database & RLS,"As the system, I want results data secured with row-level security, so that only authorized users can enter results.","tournament_results table with placement and points_awarded; RLS: public read for all; Organizer insert/update for own tournaments; Admin full access; Unique constraint on (tournament_id, player_id)",Done,Critical,3
US-066,EPIC-10: Results Entry & Points System,Player Stats Table,"As the system, I want a materialized stats table, so that rankings queries are fast.","player_stats table with aggregated fields; RLS: public read; Function-only writes (no direct user updates); last_computed timestamp for tracking freshness",Done,High,2
US-067,EPIC-10: Results Entry & Points System,Results Server Action,"As a developer, I want a server action for saving results, so that the results page can submit data securely.","saveResults() server action in lib/actions/results.ts; Accepts tournament ID and array of {player_id, placement}; Validates organizer ownership; Upserts tournament_results records; Triggers auto-compute via database triggers",Done,High,3
US-068,EPIC-10: Results Entry & Points System,Save Results Confirmation,"As an organizer, I want confirmation after saving results, so that I know the data was persisted successfully.","Success toast/message after save; Error handling for failed saves; Redirect or refresh after successful entry",Done,Medium,1
US-069,EPIC-11: Country Points & Admin Configuration,Country Configuration Table,"As the system, I want configurable per-country settings, so that points can vary by country.","country_config table with country_code, country_name, global_multiplier, custom_brackets; 15 European countries seeded (NL, DE, BE, GB, FR, ES, IT, PT, AT, CZ, PL, CH, IE, DK, SE); Auto-insert trigger for new countries appearing in tournament data; RLS: public read, admin manage",Done,High,3
US-070,EPIC-11: Country Points & Admin Configuration,Default Points Brackets Admin,"As an admin, I want to edit the default points brackets, so that I can adjust the scoring system.","Editable table showing placement ranges and base points; 9 default brackets seeded; Save button persists changes via updateDefaultBrackets() server action; Changes affect future points calculations",Done,High,3
US-071,EPIC-11: Country Points & Admin Configuration,Country Multiplier Admin,"As an admin, I want to set per-country point multipliers, so that different regions can weight differently.","Countries table with inline multiplier editing; Expandable custom brackets per country; updateCountryConfig() server action; Changes affect future points calculations",Done,High,3
US-072,EPIC-11: Country Points & Admin Configuration,Per-Country Player Stats,"As the system, I want per-country player rankings, so that players can see how they rank within a specific country.","player_country_stats table with composite PK (player_id, country_code); Same stat fields as global player_stats; compute_player_country_stats() function; Called by updated compute_player_stats(); RLS: public read",Done,High,3
US-073,EPIC-11: Country Points & Admin Configuration,Weighted Global Rankings,"As the system, I want global rankings weighted by country multipliers, so that the overall leaderboard reflects the configured scoring.","Updated compute_player_stats() uses country multipliers; Global total = SUM(country_stats * country_config.global_multiplier); Both global and per-country rankings updated on recompute",Done,High,3
US-074,EPIC-11: Country Points & Admin Configuration,Recompute All Stats,"As an admin, I want to trigger a full stats recomputation, so that I can apply configuration changes retroactively.","recomputeAllStats() server action; Calls compute_all_player_stats() via Supabase RPC; Updates all player stats, country stats, and rankings in one operation",Done,Medium,2
US-075,EPIC-12: Public Rankings & Player Profiles,Public Leaderboard Page,"As a visitor, I want to view player rankings, so that I can see who the top players are.","Fetch from player_stats ordered by total_points DESC; Columns: rank, avatar, name, nationality, points, tournaments played; Rank change indicators (up/down/same arrows) via current_rank vs previous_rank; Top player visually highlighted; 20 rows per page with pagination",Done,Critical,5
US-076,EPIC-12: Public Rankings & Player Profiles,Leaderboard Search,"As a visitor, I want to search for a player on the leaderboard, so that I can find a specific person's ranking.","Search input filters by player name; Server-side ilike() query; Results update on search; Maintains other active filters",Done,High,2
US-077,EPIC-12: Public Rankings & Player Profiles,Leaderboard Country Filter,"As a visitor, I want to filter rankings by country, so that I can see regional standings.","Country dropdown filter; Server-side filtering; URL-based parameter for sharing; Works with search filter",Done,Medium,2
US-078,EPIC-12: Public Rankings & Player Profiles,Public Player Profile Page,"As a visitor, I want to view a player's profile, so that I can see their stats and tournament history.","SEO-friendly /players/[slug] URL; Player header: avatar, display name, nationality, member since, global rank; Responsive layout",Done,Critical,3
US-079,EPIC-12: Public Rankings & Player Profiles,Player Stats Grid,"As a visitor, I want to see a player's statistics, so that I can understand their performance.","Stats grid showing: total points, tournaments played, wins, top-3 finishes, avg finish, best finish; Responsive grid layout; Visual styling consistent with design system",Done,High,2
US-080,EPIC-12: Public Rankings & Player Profiles,Achievement Badges Display,"As a visitor, I want to see a player's achievements, so that I can appreciate their accomplishments.","All 8 achievements displayed as badges; Earned achievements highlighted with color; Unearned achievements greyed out; Achievement name and description on hover/display",Done,High,3
US-081,EPIC-12: Public Rankings & Player Profiles,Tournament History Table,"As a visitor, I want to see a player's tournament history, so that I can review their past performances.","Paginated table of tournament results; Columns: tournament name, date, country, placement, points; Sorted by most recent first; Pagination for players with many results",Done,High,3
US-082,EPIC-12: Public Rankings & Player Profiles,Rank Badge Component,"As a developer, I want a reusable rank badge, so that rank is displayed consistently.","RankBadge component with visual styling for top-3 (gold, silver, bronze); Standard styling for other ranks; Used on leaderboard and player profiles",Done,Medium,1
US-083,EPIC-13: Identity Verification (Didit),Verification Session Creation API,"As the system, I want to create Didit verification sessions, so that players can start identity verification.","POST /api/verification/create-session endpoint; Authenticates user; Checks if already verified; Calls Didit v3 API with x-api-key header; Stores didit_session_id on profile; Returns verification URL for redirect",Done,Critical,5
US-084,EPIC-13: Identity Verification (Didit),Didit Webhook Handler,"As the system, I want to process Didit verification results, so that verified players are updated automatically.","POST /api/webhooks/didit endpoint; Validates HMAC-SHA256 signature via x-signature-simple header; Only processes status=Approved webhooks; Sets identity_verified=true and identity_verified_at; Extracts date_of_birth from verification data",Done,Critical,5
US-085,EPIC-13: Identity Verification (Didit),Verify Identity Page,"As a player, I want to verify my identity, so that I can register for tournaments that require verification.","Verify identity page at /verify-identity; Creates verification session via API; Redirects to Didit's hosted verification page; User completes ID upload and selfie on Didit; No client SDK dependency (redirect-based flow)",Done,High,3
US-086,EPIC-13: Identity Verification (Didit),Verification Status Badge,"As a player, I want to see my verification status, so that I know whether I need to verify.","VerificationStatus component showing verified/unverified badge; Displayed on profile page (always) and dashboard (when unverified); Links to /verify-identity when not yet verified; Green badge when verified",Done,High,2
US-087,EPIC-13: Identity Verification (Didit),Didit Utility Library,"As a developer, I want shared Didit utilities, so that API calls and webhook validation are centralized.","lib/didit.ts with createVerificationSession() and validateWebhookSignature(); Environment variable configuration (DIDIT_API_KEY, DIDIT_WEBHOOK_SECRET, NEXT_PUBLIC_DIDIT_WORKFLOW_ID); Reusable across API routes",Done,Medium,2
US-088,EPIC-14: Admin Panel,Admin Dashboard,"As an admin, I want an overview dashboard, so that I can monitor platform health at a glance.","Overview stats: total users, verified users, total tournaments, active tournaments; Recent activity feed showing new signups, registrations, and results; Admin-only access enforced by middleware and RLS",Done,High,3
US-089,EPIC-14: Admin Panel,User Management Page,"As an admin, I want to manage users, so that I can handle support and moderation tasks.","Table of all users with search and filter capabilities; Columns: name, email, role, verified status, signup date; Actions: view profile, change role; Searchable by name or email",Done,High,5
US-090,EPIC-14: Admin Panel,Organizer Invitation System,"As an admin, I want to invite organizers by email, so that approved event managers get the right access on signup.","Invite form: enter email to create organizer_invitations record; List of current organizers and pending invitations; Database trigger auto-promotes matching email to organizer role on signup; Records accepted_at timestamp when claimed",Done,High,5
US-091,EPIC-14: Admin Panel,Tournament Oversight Page,"As an admin, I want to see all tournaments across organizers, so that I can oversee the entire platform.","Table of all tournaments from all organizers; Filter by status, organizer, date range; Admin can cancel any tournament via cancelTournamentAdmin() server action; Full tournament details accessible",Done,High,3
US-092,EPIC-14: Admin Panel,Admin Server Actions,"As a developer, I want admin-specific server actions, so that admin operations are secure and centralized.","promoteToOrganizer(userId) updates user role; inviteOrganizer(email, invitedBy) creates invitation; cancelTournamentAdmin(tournamentId) for admin cancellation; requireAdmin() helper validates admin role before execution",Done,High,3
US-093,EPIC-14: Admin Panel,Organizer Invitations Database,"As the system, I want invitation records persisted, so that the auto-promote trigger works reliably.","organizer_invitations table with id, email (unique), invited_by, created_at, accepted_at; RLS: admin only; handle_organizer_invitation() trigger on profiles INSERT; Auto-sets role=organizer if email matches invitation",Done,High,3
US-094,EPIC-14: Admin Panel,Admin Route Protection,"As the system, I want admin routes strictly protected, so that only admins can access admin features.","All /admin/* routes require role=admin; Middleware enforces role check; Unauthorized users redirected; RLS policies enforce admin-only on data mutations",Done,Critical,2
US-095,EPIC-15: Platform Deployment & Hosting,Supabase Project Setup,"As a developer, I want a configured Supabase project, so that the platform has a production database and auth provider.","Supabase project created (ref: uxlnhyeijfeiurwleecy); Auth providers configured (email, Google, Facebook); Database migrations applied (001 through 013); Storage bucket created; RLS policies active on all tables",Done,Critical,5
US-096,EPIC-15: Platform Deployment & Hosting,Environment Configuration,"As a developer, I want environment variables properly configured, so that all services connect correctly in each environment.","NEXT_PUBLIC_SUPABASE_URL and ANON_KEY set; SUPABASE_SERVICE_ROLE_KEY for admin client; DIDIT_API_KEY and DIDIT_WEBHOOK_SECRET; NEXT_PUBLIC_SITE_URL for callbacks; OAuth redirect URIs configured in Supabase dashboard",Done,Critical,3
US-097,EPIC-15: Platform Deployment & Hosting,Platform Hosting Deployment,"As the product owner, I want the platform deployed to production, so that users can access the application.","Next.js app deployed to hosting provider; Custom subdomain app.opc-europe.com configured; SSL certificate active; Build and deployment pipeline working",Done,Critical,3
US-098,EPIC-15: Platform Deployment & Hosting,OAuth Redirect Configuration,"As the system, I want OAuth redirects configured for production, so that social login works on the live site.","Google OAuth redirect URI pointing to production /auth/callback; Facebook OAuth redirect URI configured; Supabase auth settings updated with production URLs",Done,High,2
US-099,EPIC-15: Platform Deployment & Hosting,Webhook Endpoint Configuration,"As the system, I want webhook endpoints configured for production, so that Didit can notify the platform of verification results.","Didit webhook URL pointing to production /api/webhooks/didit; HMAC secret configured in both Didit dashboard and platform env vars; Webhook accessible from external services",Done,High,2
